iter	RMSE
0	3037.193919
1	2918.051623
2	2804.515288
3	2695.828318
4	2592.433021
5	2493.443364
6	2399.787644
7	2309.776517
8	2224.038426
9	2142.657639
10	2065.181514
11	1991.213449
12	1920.548187
13	1853.375188
14	1789.99329
15	1729.955817
16	1671.58076
17	1615.687352
18	1563.218233
19	1513.436726
20	1465.978038
21	1420.16093
22	1376.254571
23	1334.124086
24	1295.360269
25	1257.808687
26	1221.540432
27	1187.995259
28	1156.300608
29	1125.86367
30	1097.205267
31	1070.00785
32	1043.671452
33	1019.059032
34	996.3335264
35	974.4678846
36	952.9347022
37	932.8044368
38	913.3312795
39	895.0709024
40	877.7672462
41	861.4187997
42	846.0696834
43	831.0356267
44	816.5662729
45	803.2768324
46	790.2319702
47	778.1877514
48	766.2256466
49	754.8117974
50	743.9181618
51	733.6145383
52	724.1129656
53	714.4370684
54	705.2087752
55	697.0725692
56	688.4382874
57	680.5685672
58	673.4091533
59	665.6808469
60	658.5383676
61	652.4663026
62	645.6764689
63	639.3945527
64	633.4248226
65	628.0656643
66	622.3254465
67	617.0229274
68	611.4672237
69	606.511359
70	600.8071443
71	596.2173585
72	592.2494708
73	587.2614542
74	582.9349659
75	578.703751
76	574.0931071
77	569.8668594
78	565.9644153
79	562.348973
80	558.6492179
81	555.1989761
82	552.3569918
83	549.2491446
84	546.1418734
85	542.503247
86	539.4270203
87	536.6356549
88	533.6206069
89	531.0487575
90	528.3893627
91	525.4438398
92	522.7438813
93	520.0059751
94	517.5317174
95	514.7916453
96	512.6007964
97	509.8731941
98	508.0152537
99	505.7647469
100	503.2709296
101	501.4222949
102	499.1973377
103	497.2926983
104	495.3012437
105	493.140482
106	491.2496719
107	489.5508808
108	487.4891169
109	485.6677462
110	483.7935323
111	481.9436217
112	480.1012133
113	478.3960383
114	476.9492709
115	474.9529708
116	473.6142065
117	471.2078799
118	469.8831117
119	468.0054149
120	466.7501872
121	465.6367634
122	464.1382149
123	462.5048893
124	460.6570289
125	458.3914724
126	456.9667457
127	455.8797934
128	454.6174485
129	452.9092092
130	451.7734564
131	450.771787
132	449.1760381
133	448.0461094
134	445.9686293
135	444.7299989
136	443.7375002
137	442.7804209
138	441.3185466
139	439.8632389
140	438.8157546
141	437.742582
142	436.3204856
143	435.0303324
144	434.0283497
145	433.081191
146	431.7421115
147	430.4268458
148	429.3256091
149	428.3715099
150	427.2767072
151	426.2171068
152	425.2239562
153	423.8412699
154	423.0107456
155	421.1868169
156	420.4874895
157	419.5319602
158	418.5724417
159	417.0241181
160	416.4023037
161	415.5473246
162	414.8298685
163	414.0686381
164	413.3488344
165	412.1489678
166	411.227571
167	410.4936
168	409.482674
169	408.7634657
170	407.3953706
171	406.3962814
172	405.3601397
173	404.6711012
174	403.7155452
175	402.9602839
176	401.9164912
177	401.1060532
178	399.9203344
179	399.2837414
180	398.4623975
181	397.5649684
182	396.8334673
183	396.2953025
184	395.4849895
185	394.6297142
186	393.8186676
187	393.2777916
188	392.7347874
189	391.9728557
190	391.2371976
191	390.799825
192	390.1844387
193	389.3908756
194	388.4858762
195	388.0782696
196	387.324845
197	386.4042108
198	385.7159361
199	385.2621894
200	384.5881167
201	384.0101226
202	383.5689608
203	383.1126376
204	382.4919855
205	381.7800393
206	380.9875766
207	380.3588658
208	379.9972826
209	379.3055157
210	378.5254037
211	377.8011895
212	377.4635275
213	376.7733742
214	376.1716473
215	375.7907523
216	375.0106586
217	374.4404394
218	374.1205074
219	373.5162037
220	373.0142767
221	372.4449604
222	372.1632168
223	371.3926923
224	370.7495601
225	370.3956216
226	369.8834625
227	369.3304051
228	368.9982603
229	368.4428384
230	367.9445024
231	367.3473287
232	366.7533623
233	366.3072024
234	365.8138603
235	365.37197
236	365.0356388
237	364.714976
238	364.3948119
239	363.5593864
240	363.0601906
241	362.374929
242	361.8223353
243	361.363161
244	360.9683066
245	360.5549384
246	360.0671151
247	359.7943922
248	359.5242149
249	358.872267
250	358.3798613
251	357.9315218
252	357.6536623
253	357.164991
254	356.6949437
255	356.2738581
256	355.8743384
257	355.663563
258	355.1303041
259	354.8366901
260	354.3379828
261	353.858496
262	353.3734351
263	352.9278622
264	352.4471176
265	352.2131743
266	351.7619763
267	351.3467048
268	350.8973786
269	350.4832787
270	349.9675382
271	349.5824769
272	349.3121592
273	348.790144
274	348.5715039
275	348.1879264
276	347.8347382
277	347.6491726
278	347.4071953
279	347.0507339
280	346.5689845
281	346.1703901
282	345.70704
283	345.5363922
284	345.100623
285	344.7552282
286	344.3354135
287	343.9773859
288	343.6253472
289	343.2757548
290	342.9252403
291	342.455743
292	341.9497414
293	341.5883423
294	341.2641641
295	340.8009567
296	340.4745851
297	340.1251771
298	339.8167333
299	339.4232242
300	339.2154973
301	338.8877896
302	338.7244184
303	338.3730312
304	338.0495579
305	337.7291644
306	337.3219845
307	337.1318794
308	336.7198091
309	336.4291601
310	336.2568237
311	335.9297339
312	335.6253546
313	335.2043704
314	334.9317562
315	334.7811568
316	334.4958036
317	334.2118323
318	333.9074561
319	333.5393986
320	333.2738839
321	333.0556026
322	332.8968105
323	332.508553
324	332.1789795
325	331.8725245
326	331.5930165
327	331.4506374
328	331.1830185
329	331.015317
330	330.7369033
331	330.4321252
332	330.0836475
333	329.8078596
334	329.4296264
335	329.2922928
336	328.8474577
337	328.5403362
338	328.2819592
339	328.0329217
340	327.8883556
341	327.6322182
342	327.3468965
343	327.0807942
344	326.811764
345	326.5534453
346	326.3747844
347	326.1725983
348	325.9369214
349	325.6754164
350	325.3987048
351	325.2773067
352	325.1722432
353	324.7270524
354	324.4188911
355	324.1183889
356	323.8284334
357	323.5228247
358	323.2615877
359	323.0222652
360	322.8191714
361	322.5223627
362	322.329629
363	322.1909753
364	321.9766607
365	321.709122
366	321.3927141
367	321.2274519
368	320.9820691
369	320.7483051
370	320.5070454
371	320.2868787
372	320.0392186
373	319.953651
374	319.7452402
375	319.5267955
376	319.3237876
377	319.0955077
378	318.9144028
379	318.5902558
380	318.4159018
381	318.23126
382	317.7660972
383	317.5569025
384	317.3613164
385	317.0242078
386	316.8789566
387	316.6085097
388	316.4584181
389	316.2117173
390	316.1033952
391	315.8623758
392	315.6174223
393	315.4003738
394	315.1939079
395	314.9202887
396	314.6707891
397	314.462569
398	314.3353732
399	314.1784419
400	314.0506676
401	313.8187066
402	313.5910702
403	313.3561992
404	313.110163
405	312.8022395
406	312.568245
407	312.4893455
408	312.2912172
409	312.0832954
410	311.8754942
411	311.6499043
412	311.4443579
413	311.3334007
414	311.1396605
415	310.8765477
416	310.7019243
417	310.5373981
418	310.3733681
419	310.1964286
420	310.0812704
421	309.932035
422	309.6764175
423	309.5731943
424	309.4413865
425	309.2720908
426	309.0916437
427	308.829341
428	308.6037144
429	308.4202759
430	308.1514515
431	308.003129
432	307.8175675
433	307.7228953
434	307.5347252
435	307.4799976
436	307.3062013
437	307.1441835
438	307.0018526
439	306.8726183
440	306.6537145
441	306.4588625
442	306.3052334
443	306.1243896
444	305.9307439
445	305.6777049
446	305.4439802
447	305.2489705
448	305.0968944
449	304.9224292
450	304.7158364
451	304.5068201
452	304.3639785
453	304.224769
454	304.0624068
455	303.8499503
456	303.6831602
457	303.4901944
458	303.2652449
459	303.1061883
460	302.9639992
461	302.804496
462	302.6175849
463	302.4833342
464	302.3828959
465	302.2231074
466	302.062228
