iter	Passed	Remaining
0	185	110925
1	196	58871
2	207	41297
3	217	32414
4	228	27203
5	239	23672
6	249	21151
7	260	19273
8	270	17783
9	281	16594
10	291	15623
11	302	14833
12	312	14110
13	323	13533
14	333	13016
15	343	12554
16	354	12142
17	364	11793
18	375	11481
19	385	11183
20	395	10914
21	406	10671
22	417	10476
23	428	10285
24	439	10099
25	449	9922
26	459	9760
27	470	9602
28	480	9456
29	490	9327
30	501	9213
31	512	9098
32	522	8982
33	533	8877
34	543	8779
35	553	8674
36	564	8586
37	574	8493
38	584	8408
39	594	8326
40	605	8249
41	615	8173
42	625	8102
43	635	8033
44	646	7968
45	656	7905
46	666	7847
47	677	7791
48	687	7733
49	697	7675
50	707	7616
51	717	7563
52	727	7510
53	738	7463
54	748	7414
55	758	7365
56	768	7321
57	778	7274
58	788	7229
59	798	7187
60	809	7153
61	819	7112
62	829	7069
63	839	7031
64	850	7000
65	860	6960
66	870	6925
67	880	6888
68	891	6860
69	901	6826
70	912	6795
71	922	6762
72	932	6733
73	942	6701
74	953	6672
75	963	6644
76	974	6617
77	984	6588
78	994	6556
79	1004	6527
80	1014	6499
81	1024	6470
82	1034	6443
83	1044	6418
84	1054	6391
85	1065	6366
86	1075	6343
87	1085	6317
88	1096	6295
89	1106	6269
90	1116	6246
91	1127	6225
92	1137	6203
93	1147	6179
94	1158	6156
95	1167	6130
96	1177	6107
97	1187	6083
98	1197	6060
99	1207	6036
100	1218	6020
101	1228	6000
102	1239	5979
103	1249	5960
104	1259	5939
105	1269	5917
106	1280	5897
107	1290	5878
108	1300	5859
109	1310	5838
110	1320	5817
111	1330	5797
112	1342	5784
113	1352	5766
114	1362	5747
115	1373	5728
116	1384	5715
117	1395	5700
118	1405	5682
119	1416	5664
120	1426	5646
121	1436	5629
122	1447	5612
123	1458	5597
124	1468	5579
125	1479	5566
126	1490	5549
127	1501	5535
128	1511	5519
129	1522	5504
130	1532	5486
131	1543	5471
132	1553	5455
133	1569	5457
134	1580	5442
135	1596	5448
136	1607	5434
137	1618	5418
138	1629	5402
139	1639	5387
140	1650	5373
141	1661	5358
142	1671	5340
143	1681	5324
144	1691	5308
145	1702	5293
146	1713	5279
147	1723	5263
148	1734	5250
149	1744	5234
150	1755	5219
151	1765	5204
152	1775	5188
153	1786	5174
154	1797	5159
155	1808	5146
156	1818	5131
157	1828	5115
158	1838	5098
159	1849	5085
160	1861	5074
161	1871	5059
162	1881	5045
163	1891	5029
164	1902	5015
165	1912	4999
166	1922	4985
167	1933	4971
168	1944	4958
169	1954	4943
170	1965	4930
171	1975	4916
172	1986	4902
173	1996	4887
174	2005	4871
175	2016	4856
176	2026	4843
177	2038	4832
178	2049	4821
179	2060	4807
180	2070	4792
181	2081	4779
182	2090	4764
183	2101	4750
184	2111	4736
185	2121	4723
186	2132	4708
187	2141	4693
188	2152	4680
189	2162	4666
190	2172	4651
191	2183	4639
192	2193	4624
193	2202	4609
194	2212	4594
195	2222	4581
196	2232	4567
197	2242	4553
198	2252	4539
199	2263	4526
200	2274	4514
201	2284	4500
202	2294	4487
203	2304	4473
204	2315	4460
205	2325	4448
206	2335	4433
207	2345	4419
208	2355	4406
209	2365	4392
210	2376	4380
211	2385	4366
212	2395	4353
213	2405	4339
214	2415	4325
215	2425	4312
216	2435	4298
217	2445	4285
218	2455	4271
219	2465	4258
220	2475	4245
221	2485	4231
222	2496	4219
223	2506	4206
224	2515	4192
225	2525	4179
226	2535	4166
227	2546	4154
228	2556	4141
229	2566	4128
230	2576	4115
231	2586	4102
232	2597	4090
233	2607	4077
234	2616	4064
235	2626	4051
236	2636	4038
237	2646	4025
238	2657	4014
239	2667	4001
240	2678	3989
241	2688	3977
242	2698	3964
243	2709	3952
244	2720	3941
245	2730	3928
246	2740	3916
247	2751	3905
248	2762	3893
249	2771	3880
250	2781	3868
251	2791	3854
252	2802	3843
253	2812	3830
254	2821	3817
255	2831	3804
256	2841	3792
257	2851	3779
258	2861	3766
259	2871	3754
260	2881	3742
261	2891	3730
262	2901	3717
263	2911	3705
264	2921	3692
265	2931	3681
266	2941	3668
267	2951	3656
268	2962	3645
269	2972	3633
270	2982	3621
271	2994	3610
272	3004	3598
273	3014	3587
274	3025	3575
275	3036	3564
276	3046	3552
277	3056	3540
278	3067	3528
279	3077	3517
280	3087	3504
281	3097	3493
282	3107	3481
283	3118	3469
284	3129	3459
285	3139	3447
286	3150	3435
287	3160	3423
288	3170	3411
289	3180	3399
290	3190	3387
291	3201	3376
292	3211	3365
293	3221	3353
294	3231	3341
295	3242	3330
296	3253	3319
297	3263	3307
298	3274	3296
299	3285	3285
300	3296	3274
301	3306	3262
302	3316	3250
303	3326	3239
304	3337	3228
305	3349	3217
306	3358	3205
307	3369	3194
308	3380	3183
309	3389	3170
310	3399	3159
311	3409	3147
312	3419	3135
313	3430	3124
314	3453	3124
315	3472	3120
316	3484	3110
317	3496	3100
318	3507	3089
319	3518	3078
320	3529	3067
321	3545	3060
322	3555	3049
323	3572	3043
324	3584	3033
325	3596	3022
326	3608	3012
327	3619	3001
328	3630	2990
329	3641	2979
330	3652	2968
331	3662	2956
